Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6138.071474824047,26.205839168776947
"Sheep, beef cattle, and grain farming",,7984.108416380915,7954.063120637431,30.04529574348362
Dairy cattle farming,AA131,10395.10504895253,10358.85141083482,36.25363811770876
"Poultry, deer, and other livestock farming",,4968.636997335923,4947.720004836661,20.91699249926205
Forestry and logging,AA211,6758.945241876287,6729.2419328477245,29.703309028562217
Fishing and aquaculture,,4162.947025158909,4142.162583131014,20.78444202789524
"Agriculture, forestry, and fishing support services",,5908.587505082643,5884.358319541469,24.229185541173138
Coal mining,BB111,4248.744564981245,4230.040573442596,18.70399153864946
Oil and gas extraction,BB112,4506.667410980047,4487.964636248779,18.70277473126771
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4037.7282920462435,16.177020871413788
Exploration and other mining support services,BB114,4620.08736386429,4599.39671839039,20.690645473900076
Meat and meat product manufacturing,CC111,8596.119406828715,8562.459390936812,33.66001589190273
Seafood processing,CC121,4262.365639606111,4242.236499274688,20.129140331422605
Dairy product manufacturing,CC131,11851.736574976458,11810.234891537519,41.501683438938926
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7361.1011124205015,32.794137705622234
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6350.301937242473,27.186092359360373
Textile and leather manufacturing,CC211,5301.244798680549,5278.663823867466,22.58097481308323
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3324.4168876046815,14.90241428587251
Wood product manufacturing,CC311,6497.340506474585,6468.030330186175,29.31017628840982
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6363.683596206765,28.631409604327928
Printing,CC411,4104.283253074512,4085.717300935039,18.565952139472756
Petroleum and coal product manufacturing,CC511,5177.256549031539,5152.741963973243,24.51458505829578
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4448.06735592557,19.113353635220847
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4598.882604411795,20.61668991321585
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4882.6693126312075,22.20969883268117
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4801.606634692678,21.831951864310213
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5433.490437110386,24.326425192883107
Primary metal and metal product manufacturing,CC711,6215.36910062153,6187.928009902045,27.441090719485146
Fabricated metal product manufacturing,CC721,6768.951426025005,6737.348675337807,31.60275068719784
Transport equipment manufacturing,CC811,3591.6965990462204,3574.933038991818,16.763560054402205
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,4995.468841158144,23.408864545376673
Machinery manufacturing,CC822,5178.288168930157,5154.387868876705,23.900300053451247
Furniture manufacturing,CC911,4321.171812279279,4301.553723409601,19.618088869678104
Other manufacturing,CC912,3968.930709517216,3950.757463033493,18.173246483723233
Electricity generation and on-selling,DD111,9146.630553870371,9108.617339731798,38.01321413857295
Electricity transmission and distribution,DD112,6371.453640964036,6344.9275891462175,26.52605181781837
Gas and water supply,,4765.451961286213,4744.991450636586,20.460510649627395
Sewerage and drainage services,DD122,3859.841216371368,3842.6504058899045,17.19081048146336
"Waste collection, treatment, and disposal services",,4444.292161099032,4423.827415299198,20.46474579983351
Residential building construction,EE112,14120.621172656422,14055.641243417982,64.97992923843958
Non-residential building construction,EE113,12003.492711963103,11948.053788938425,55.43892302467793
Heavy and civil engineering construction,EE121,11869.340361403289,11814.984681519747,54.3556798835416
Construction services,EE131,17150.003441984456,17070.59239733659,79.41104464786622
Basic material wholesaling,FF111,7216.186929664125,7183.045378536779,33.14155112734625
Machinery and equipment wholesaling,FF112,7505.328874097304,7471.151737759677,34.17713633762651
"Motor vehicle wholesaling, including parts",,4191.536695977095,4172.68462895477,18.852067022325173
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7653.0531579649005,35.31239416912376
Other goods and commission based wholesaling,,7307.3703141783735,7274.390588525451,32.97972565292275
"Motor vehicle retailing, including parts",,4578.207995881194,4557.274073306554,20.933922574639837
Fuel retailing,GH112,3927.3612879152206,3909.8750828840293,17.486205031191275
Supermarket and grocery stores,GH121,5999.37751014531,5972.270554751427,27.106955393883254
Specialised food retailing,GH122,3975.1323981283604,3957.3758292275884,17.75656890077198
"Furniture, electrical, and hardware retailing",,6154.958785869658,6126.964001209022,27.99478466063556
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5707.738817424326,26.170559318445157
Department stores,GH133,4880.405366772416,4858.369261567277,22.036105205138483
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5599.019662049576,25.470801458294773
Non-store and commission based retailing,GH135,5198.519134694494,5175.421708942858,23.097425751636365
Accommodation,GH211,5918.1193569413435,5893.383923985453,24.735432955890246
Food and beverage services,GH212,9064.459755746795,9023.923604174863,40.53615157193235
Road transport,II111,7758.779228168099,7723.801573667496,34.97765450060251
Rail transport,II121,5268.496368348418,5244.425401446184,24.07096690223443
Water transport,II122,4396.242067661012,4376.262174419143,19.979893241868922
Air and space transport,II123,6196.046711047718,6167.9121660140745,28.134545033643917
Other transport,II125,3754.9427994719454,3738.561212880491,16.38158659145438
Postal and courier services,,4712.496582964915,4690.907992593202,21.588590371713508
Transport support services,II132,7471.542269370886,7436.538618070295,35.00365130059072
Warehousing and storage services,II133,4396.656265151765,4376.832117195627,19.824147956138404
Publishing (except internet and music publishing),JJ111,3295.325584477265,3280.867938495762,14.457645981502992
Motion picture and sound recording activities,JJ112,5235.808881374975,5212.608805507849,23.200075867125634
Broadcasting and internet publishing,JJ113,5399.001044298118,5375.006239599047,23.99480469907121
Telecommunications services,JJ121,7302.733412754614,7269.542509324521,33.190903430092476
"Internet service providers, web search portals and data processing services",JJ122,4210.801304597497,4192.42460944112,18.376695156376627
Library and other information services,JJ123,2214.8538346114183,2204.786152566455,10.067682044963476
Banking and financing; financial asset investing,,12829.581157862749,12776.147282244905,53.43387561784402
Life insurance,KK121,5444.723043644208,5421.1739485735425,23.549095070665317
Health and general insurance,KK122,6481.22166447816,6449.409107212889,31.812557265271607
Superannuation and individual pension services,,8929.581063353337,8891.142536202822,38.438527150514346
Auxiliary finance and insurance services,KK131,7070.448335106992,7040.185711919746,30.26262318724639
Rental and hiring services (except real estate),LL111,6060.54559018728,6033.4159268333615,27.12966335391866
Non-financial asset leasing,LL112,4801.268180182722,4779.511476083824,21.7567040988979
Residential property operation,LL121,12602.423571832418,12545.568230794579,56.855341037839025
Non-residential property operation,LL122,12379.974769893768,12324.336746560144,55.638023333624005
Real estate services,LL123,5971.361403381427,5944.590635368437,26.77076801299063
Owner-occupied property operation,,26236.89849603482,26226.131243531407,10.767252503414056
"Scientific, architectural, and engineering services",,11472.922034055773,11416.771118123363,56.1509159324105
Legal and accounting services,MN112,7521.192159061272,7487.271680274579,33.92047878669291
"Advertising, market research, and management services",,9157.285061763778,9117.048275558816,40.23678620496139
Veterinary and other professional services,MN114,2488.8549383048066,2477.929062807592,10.925875497214747
Computer system design and related services,MN115,10089.41237863674,10044.437979830955,44.97439880578531
Travel agency and tour arrangement services,MN211,2952.891617698783,2940.090800555645,12.800817143138374
Employment and other administrative services,MN212,7598.682325089658,7562.986896718689,35.69542837096833
"Building cleaning, pest control, and other support services",,5826.035938315717,5799.026490199647,27.009448116070416
Local government administration services,,4426.281653924045,4406.7850740824215,19.496579841623316
Central government administration services,,9082.643050952303,9043.133883259126,39.509167693177005
Defence,OO212,3241.4309087336133,3228.174072259986,13.256836473627118
"Public order, safety, and regulatory services",,7741.2755998999655,7706.8946085859925,34.38099131397303
Preschool education,PP111,3016.133659657665,3002.433946026562,13.699713631102895
School education,PP112,8146.9040404141415,8109.879030249109,37.025010165032654
Tertiary education,PP113,7091.189611902046,7059.62870928835,31.56090261369536
"Adult, community, and other education",,4752.467619551142,4731.2429114712395,21.224708079902484
Hospitals,QQ111,10864.045729259346,10811.171375495214,52.87435376413123
Medical and other health care services,QQ112,9919.601887961493,9872.050856068498,47.551031892995525
Residential care services and social assistance,QQ113,6960.964089980651,6928.1298476896745,32.83424229097636
Heritage and artistic activities,RS111,3839.1921557544388,3822.440728482282,16.75142727215689
Sport and recreation services,,5636.941133232668,5611.796097175397,25.145036057270772
Gambling activities,RS113,3938.010875088333,3920.5360242279057,17.47485086042707
Repair and maintenance,RS211,6187.660047352376,6159.7364274855445,27.92361986683136
Personal services; domestic household staff,,4669.012328127027,4648.377650116416,20.634678010611424
"Religious services; civil, professional, and other interest groups",,5912.533621590067,5885.75778884167,26.77583274839708
