Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6090.356502796902,73.9208111959224
"Sheep, beef cattle, and grain farming",,7984.108416380915,7891.607213682257,92.50120269865783
Dairy cattle farming,AA131,10395.10504895253,10274.759620142777,120.34542880975278
"Poultry, deer, and other livestock farming",,4968.636997335923,4909.229138316545,59.40785901937852
Forestry and logging,AA211,6758.945241876287,6678.90530685993,80.03993501635705
Fishing and aquaculture,,4162.947025158909,4113.029274574246,49.917750584662826
"Agriculture, forestry, and fishing support services",,5908.587505082643,5839.100684782578,69.48682030006421
Coal mining,BB111,4248.744564981245,4197.764539490487,50.980025490758635
Oil and gas extraction,BB112,4506.667410980047,4452.856189752486,53.811221227560964
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4005.702630851923,48.20268206573428
Exploration and other mining support services,BB114,4620.08736386429,4564.169038446344,55.91832541794611
Meat and meat product manufacturing,CC111,8596.119406828715,8495.603730953375,100.5156758753401
Seafood processing,CC121,4262.365639606111,4211.224237075778,51.141402530332925
Dairy product manufacturing,CC131,11851.736574976458,11713.521904160947,138.21467081551054
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7305.339516446162,88.55573367996203
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6300.725500270825,76.76252933100841
Textile and leather manufacturing,CC211,5301.244798680549,5237.930181101086,63.31461757946272
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3298.811600533426,40.5077013571281
Wood product manufacturing,CC311,6497.340506474585,6419.595705315398,77.74480115918686
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6315.768105340792,76.5469004703009
Printing,CC411,4104.283253074512,4054.693673562,49.58957951251159
Petroleum and coal product manufacturing,CC511,5177.256549031539,5115.312884026551,61.94366500498836
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4413.577437601471,53.60327195932041
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4564.033191945119,55.46610237989171
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4845.971988412301,58.90702305158811
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4765.398623548405,58.03996300858307
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5392.1195301865755,65.69733211669336
Primary metal and metal product manufacturing,CC711,6215.36910062153,6140.925837452538,74.44326316899242
Fabricated metal product manufacturing,CC721,6768.951426025005,6687.835376221988,81.11604980301763
Transport equipment manufacturing,CC811,3591.6965990462204,3548.322966142765,43.37363290345547
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,4959.045162381197,59.832543322323545
Machinery manufacturing,CC822,5178.288168930157,5116.540603261845,61.747565668311836
Furniture manufacturing,CC911,4321.171812279279,4269.032441110732,52.13937116854686
Other manufacturing,CC912,3968.930709517216,3920.7834274155452,48.14728210167095
Electricity generation and on-selling,DD111,9146.630553870371,9039.344299573531,107.28625429683962
Electricity transmission and distribution,DD112,6371.453640964036,6293.958477400599,77.49516356343702
Gas and water supply,,4765.451961286213,4707.566601396977,57.8853598892365
Sewerage and drainage services,DD122,3859.841216371368,3812.5329973835996,47.308218987768214
"Waste collection, treatment, and disposal services",,4444.292161099032,4390.7314527697,53.560708329331646
Residential building construction,EE112,14120.621172656422,13951.471134758827,169.1500378975943
Non-residential building construction,EE113,12003.492711963103,11859.245783930415,144.24692803268772
Heavy and civil engineering construction,EE121,11869.340361403289,11727.517586513095,141.8227748901936
Construction services,EE131,17150.003441984456,16944.636425655342,205.36701632911354
Basic material wholesaling,FF111,7216.186929664125,7129.401336114901,86.78559354922436
Machinery and equipment wholesaling,FF112,7505.328874097304,7414.268510979131,91.06036311817297
"Motor vehicle wholesaling, including parts",,4191.536695977095,4140.615865576202,50.920830400893465
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7595.324573074637,93.04097905938761
Other goods and commission based wholesaling,,7307.3703141783735,7218.887181864813,88.48313231356042
"Motor vehicle retailing, including parts",,4578.207995881194,4522.846750262655,55.361245618538305
Fuel retailing,GH112,3927.3612879152206,3879.460884588223,47.90040332699755
Supermarket and grocery stores,GH121,5999.37751014531,5927.329263697377,72.0482464479328
Specialised food retailing,GH122,3975.1323981283604,3926.778411733056,48.35398639530422
"Furniture, electrical, and hardware retailing",,6154.958785869658,6080.788391410397,74.17039445926093
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5664.189162277459,69.72021446531198
Department stores,GH133,4880.405366772416,4820.835446269324,59.56992050309145
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5555.975714859414,68.51474864845659
Non-store and commission based retailing,GH135,5198.519134694494,5134.55959096154,63.959543732953534
Accommodation,GH211,5918.1193569413435,5846.6974137487,71.421943192644
Food and beverage services,GH212,9064.459755746795,8955.045287831992,109.41446791480303
Road transport,II111,7758.779228168099,7666.29463695517,92.48459121292854
Rail transport,II121,5268.496368348418,5204.790197183962,63.706171164456464
