Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6135.834024481891,28.443289510933027
"Sheep, beef cattle, and grain farming",,7984.108416380915,7949.322774602955,34.78564177795943
Dairy cattle farming,AA131,10395.10504895253,10350.066625688314,45.03842326421545
"Poultry, deer, and other livestock farming",,4968.636997335923,4945.267436532051,23.369560803872446
Forestry and logging,AA211,6758.945241876287,6725.596749932987,33.34849194329945
Fishing and aquaculture,,4162.947025158909,4140.009221748153,22.937803410755805
"Agriculture, forestry, and fishing support services",,5908.587505082643,5881.2170500821285,27.370455000514085
Coal mining,BB111,4248.744564981245,4228.082095154801,20.662469826444067
Oil and gas extraction,BB112,4506.667410980047,4486.420238485083,20.247172494963706
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4035.6552617833772,18.250051134280056
Exploration and other mining support services,BB114,4620.08736386429,4597.280803821817,22.806560042472483
Meat and meat product manufacturing,CC111,8596.119406828715,8556.260689352353,39.85871747636156
Seafood processing,CC121,4262.365639606111,4239.980147125565,22.38549248054551
Dairy product manufacturing,CC131,11851.736574976458,11803.525109030066,48.2114659463914
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7357.8462904510125,36.04895967511129
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6347.579387735752,29.90864186608178
Textile and leather manufacturing,CC211,5301.244798680549,5275.891131306536,25.35366737401273
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3322.87323016091,16.44607172964379
Wood product manufacturing,CC311,6497.340506474585,6464.878651514951,32.461854959633456
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6360.57058305436,31.744422756733
Printing,CC411,4104.283253074512,4083.766439002072,20.516814072439956
Petroleum and coal product manufacturing,CC511,5177.256549031539,5149.358641501677,27.897907529862096
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4446.0963303023655,21.084379258425543
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4596.501564113145,22.997730211865928
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4880.4639014749355,24.41510998895319
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4799.8623830103425,23.576203546645957
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5430.990697344187,26.826164959082234
Primary metal and metal product manufacturing,CC711,6215.36910062153,6182.1880082448115,33.18109237671888
Fabricated metal product manufacturing,CC721,6768.951426025005,6733.374066334877,35.577359690128105
Transport equipment manufacturing,CC811,3591.6965990462204,3573.079459066178,18.61713998004234
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,4993.467092663992,25.41061303952847
Machinery manufacturing,CC822,5178.288168930157,5151.639493250541,26.648675679615735
Furniture manufacturing,CC911,4321.171812279279,4299.488328599756,21.683483679523306
Other manufacturing,CC912,3968.930709517216,3948.8567291656937,20.07398035152255
Electricity generation and on-selling,DD111,9146.630553870371,9101.558167089619,45.07238678075191
Electricity transmission and distribution,DD112,6371.453640964036,6340.884227598849,30.569413365186847
Gas and water supply,,4765.451961286213,4742.3902709211,23.061690365113463
Sewerage and drainage services,DD122,3859.841216371368,3840.8133188662296,19.0278975051383
"Waste collection, treatment, and disposal services",,4444.292161099032,4422.089736979569,22.202424119462194
Residential building construction,EE112,14120.621172656422,14048.529004689206,72.09216796721557
Non-residential building construction,EE113,12003.492711963103,11942.132538439455,61.36017352364797
Heavy and civil engineering construction,EE121,11869.340361403289,11809.019040113888,60.32132128940066
Construction services,EE131,17150.003441984456,17062.176130799544,87.8273111849121
Basic material wholesaling,FF111,7216.186929664125,7179.766214418786,36.420715245339125
Machinery and equipment wholesaling,FF112,7505.328874097304,7468.438874276223,36.88999982108089
"Motor vehicle wholesaling, including parts",,4191.536695977095,4170.6729746848305,20.863721292264927
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7649.434299818793,38.93125231523118
Other goods and commission based wholesaling,,7307.3703141783735,7271.91813432116,35.452179857213196
"Motor vehicle retailing, including parts",,4578.207995881194,4554.808142783254,23.39985309793974
Fuel retailing,GH112,3927.3612879152206,3908.092190188798,19.269097726422387
Supermarket and grocery stores,GH121,5999.37751014531,5968.557990454976,30.819519690334346
Specialised food retailing,GH122,3975.1323981283604,3955.498647464724,19.63375066363642
"Furniture, electrical, and hardware retailing",,6154.958785869658,6123.497020195346,31.46176567431212
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5705.064983210782,28.844393531989226
Department stores,GH133,4880.405366772416,4856.047726222023,24.357640550392716
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5596.4566263803345,28.03383712753657
Non-store and commission based retailing,GH135,5198.519134694494,5173.231970206695,25.28716448779869
Accommodation,GH211,5918.1193569413435,5889.782778306479,28.336578634864964
Food and beverage services,GH212,9064.459755746795,9019.335742823176,45.124012923619375
Road transport,II111,7758.779228168099,7718.986648875851,39.792579292247865
Rail transport,II121,5268.496368348418,5241.752411244336,26.743957104082256
Water transport,II122,4396.242067661012,4374.043592511296,22.198475149715705
Air and space transport,II123,6196.046711047718,6165.558605660756,30.48810538696216
Other transport,II125,3754.9427994719454,3736.295468834146,18.647330637799314
Postal and courier services,,4712.496582964915,4688.711018704425,23.78556426048999
Transport support services,II132,7471.542269370886,7432.109273572806,39.4329957980799
Warehousing and storage services,II133,4396.656265151765,4375.019312404801,21.636952746964198
Publishing (except internet and music publishing),JJ111,3295.325584477265,3278.596425757927,16.729158719337647
Motion picture and sound recording activities,JJ112,5235.808881374975,5210.288545754359,25.520335620615697
Broadcasting and internet publishing,JJ113,5399.001044298118,5372.871913365727,26.12913093239149
Telecommunications services,JJ121,7302.733412754614,7268.0673967753155,34.66601597929821
"Internet service providers, web search portals and data processing services",JJ122,4210.801304597497,4191.178133511003,19.62317108649404
Library and other information services,JJ123,2214.8538346114183,2203.765307907295,11.088526704123069
Banking and financing; financial asset investing,,12829.581157862749,12771.525385083234,58.05577277951488
Life insurance,KK121,5444.723043644208,5419.400159418983,25.322884225224698
Health and general insurance,KK122,6481.22166447816,6448.270720171708,32.950944306452584
Superannuation and individual pension services,,8929.581063353337,8887.612815282708,41.96824807062876
Auxiliary finance and insurance services,KK131,7070.448335106992,7037.37475971884,33.07357538815177
Rental and hiring services (except real estate),LL111,6060.54559018728,6030.764990848622,29.78059933865825
Non-financial asset leasing,LL112,4801.268180182722,4777.512029030263,23.756151152459097
Residential property operation,LL121,12602.423571832418,12539.906742188468,62.51682964394968
Non-residential property operation,LL122,12379.974769893768,12318.857772696472,61.11699719729586
Real estate services,LL123,5971.361403381427,5942.067301195169,29.294102186257987
Owner-occupied property operation,,26236.89849603482,26225.103844049976,11.794651984844677
"Scientific, architectural, and engineering services",,11472.922034055773,11412.5338675169,60.38816653887261
Legal and accounting services,MN112,7521.192159061272,7483.447431279321,37.74472778195104
"Advertising, market research, and management services",,9157.285061763778,9113.317983023597,43.96707874018102
Veterinary and other professional services,MN114,2488.8549383048066,2476.670707131084,12.184231173722765
Computer system design and related services,MN115,10089.41237863674,10041.548137757905,47.86424087883461
Travel agency and tour arrangement services,MN211,2952.891617698783,2938.7240801316075,14.167537567175714
Employment and other administrative services,MN212,7598.682325089658,7559.949370679328,38.73295441032951
"Building cleaning, pest control, and other support services",,5826.035938315717,5796.211250168923,29.82468814679487
Local government administration services,,4426.281653924045,4404.195292152495,22.08636177154949
Central government administration services,,9082.643050952303,9039.371111676384,43.27193927591907
Defence,OO212,3241.4309087336133,3226.979988075077,14.450920658536234
"Public order, safety, and regulatory services",,7741.2755998999655,7703.515809674969,37.75979022499632
Preschool education,PP111,3016.133659657665,3000.9706535671485,15.163006090516319
School education,PP112,8146.9040404141415,8105.4917167047715,41.41232370936996
Tertiary education,PP113,7091.189611902046,7051.290510779283,39.89910112276266
"Adult, community, and other education",,4752.467619551142,4729.123267871513,23.344351679628744
Hospitals,QQ111,10864.045729259346,10802.382145422916,61.6635838364291
Medical and other health care services,QQ112,9919.601887961493,9867.326422686372,52.27546527512095
Residential care services and social assistance,QQ113,6960.964089980651,6923.774544727828,37.189545252823336
Heritage and artistic activities,RS111,3839.1921557544388,3820.265810395392,18.92634535904699
Sport and recreation services,,5636.941133232668,5609.116155174776,27.824978057891713
Gambling activities,RS113,3938.010875088333,3918.485698413302,19.525176675030707
Repair and maintenance,RS211,6187.660047352376,6156.556105535003,31.103941817373197
Personal services; domestic household staff,,4669.012328127027,4645.725261970901,23.287066156126457
"Religious services; civil, professional, and other interest groups",,5912.533621590067,5883.036099840403,29.497521749663974
